GO_terms	p-value	description
GO:0098588	0.0017734390917535851	bounding membrane of organelle
GO:0044297	0.002661177284201346	cell body
GO:0098978	0.002841683851216457	glutamatergic synapse
GO:0005911	0.003162963964655074	cell-cell junction
GO:0043232	0.003260369334545572	intracellular non-membrane-bounded organelle
GO:0043228	0.003274840546212417	non-membrane-bounded organelle
GO:0005884	0.006345953855327357	actin filament
GO:0005773	0.006584662296115801	vacuole
GO:0005515	6.802916142471285e-101	protein binding
GO:0005488	2.5708089782449793e-93	binding
GO:0003677	9.86579942883363e-46	DNA binding
GO:0140110	1.2271591469008788e-44	transcription regulator activity
GO:0043565	4.937463375444129e-42	sequence-specific DNA binding
GO:0000976	5.2167261498540894e-40	transcription cis-regulatory region binding
GO:0001067	8.131424131076646e-40	transcription regulatory region nucleic acid binding
GO:1990837	7.269930851118613e-39	sequence-specific double-stranded DNA binding
GO:0003690	4.867816670353064e-38	double-stranded DNA binding
GO:0000977	5.2204560375323545e-34	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0019899	3.6121015848069146e-33	enzyme binding
GO:0000987	4.9149699604921864e-32	cis-regulatory region sequence-specific DNA binding
GO:0000978	1.4211964045468495e-31	RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0003700	3.3632031598414272e-31	DNA-binding transcription factor activity
GO:0043167	4.514945844326043e-31	ion binding
GO:0003674	7.2007066077433e-29	molecular_function
GO:0000981	1.0705084237439707e-28	DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0046872	1.0811168884708965e-27	metal ion binding
GO:1901363	2.0461443895116894e-26	heterocyclic compound binding
GO:0097159	3.709882803991496e-26	organic cyclic compound binding
GO:0043169	4.7006408731283446e-26	cation binding
GO:0003682	2.4281055414504644e-24	chromatin binding
GO:0044877	7.87157814685227e-24	protein-containing complex binding
GO:0008134	6.681644242493174e-23	transcription factor binding
GO:0019904	1.1383729331593709e-20	protein domain specific binding
GO:0003676	3.4267097266524745e-20	nucleic acid binding
GO:0140297	9.506022801995769e-20	DNA-binding transcription factor binding
GO:0001216	5.183779558513719e-15	DNA-binding transcription activator activity
GO:0001217	6.149054739700915e-15	DNA-binding transcription repressor activity
GO:0001228	9.047118527668684e-15	DNA-binding transcription activator activity, RNA polymerase II-specific
GO:0001227	1.9746114809386107e-14	DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0061629	4.3121957357471183e-13	RNA polymerase II-specific DNA-binding transcription factor binding
GO:0008092	8.426561240232023e-13	cytoskeletal protein binding
GO:0042802	1.939649976280957e-11	identical protein binding
GO:0001221	1.0438171677804157e-10	transcription coregulator binding
GO:0030020	2.761794076951595e-10	extracellular matrix structural constituent conferring tensile strength
GO:0046332	1.688204380532962e-09	SMAD binding
GO:0003712	2.620321586341507e-09	transcription coregulator activity
GO:0019900	3.990282346042443e-09	kinase binding
GO:0019901	1.2288012849688139e-08	protein kinase binding
GO:0098772	1.6396151472260527e-07	molecular function regulator activity
GO:0003713	3.53008126801515e-07	transcription coactivator activity
GO:0003779	4.200112258955598e-07	actin binding
GO:0005201	1.9267481049072584e-06	extracellular matrix structural constituent
GO:0030234	1.085286504920314e-05	enzyme regulator activity
GO:0051087	2.7206952666038162e-05	chaperone binding
GO:0060090	7.042244493379105e-05	molecular adaptor activity
GO:0008270	8.342771564078779e-05	zinc ion binding
GO:0051082	0.00015751305691506199	unfolded protein binding
GO:0051787	0.00020385222126506614	misfolded protein binding
GO:0001223	0.0003138801741909658	transcription coactivator binding
GO:0031072	0.000328619630177751	heat shock protein binding
GO:0140096	0.00033305395594161437	catalytic activity, acting on a protein
GO:0070888	0.0003915933556371766	E-box binding
GO:0015631	0.0004377301503528291	tubulin binding
GO:0042393	0.0009438206323409057	histone binding
GO:0060589	0.001057417767080841	nucleoside-triphosphatase regulator activity
GO:0030695	0.001057417767080841	GTPase regulator activity
GO:0140416	0.001083773275073707	transcription regulator inhibitor activity
GO:0008017	0.0020612474807508462	microtubule binding
GO:0016922	0.004091815046224487	nuclear receptor binding
GO:0030674	0.004763270333610928	protein-macromolecule adaptor activity
GO:0044183	0.004877515421635549	protein folding chaperone
GO:0140677	0.007646063544333821	molecular function activator activity
GO:0097367	0.009621606545539202	carbohydrate derivative binding
GO:0050907	8.240966680150603e-24	detection of chemical stimulus involved in sensory perception
GO:0007606	1.3572248277847047e-23	sensory perception of chemical stimulus
GO:0050911	1.4481258832594028e-23	detection of chemical stimulus involved in sensory perception of smell
GO:0009593	2.4688026594054068e-20	detection of chemical stimulus
GO:0007186	6.60527669329278e-20	G protein-coupled receptor signaling pathway
GO:0007608	3.525178607673967e-19	sensory perception of smell
GO:0000244	1.7256103429833392e-17	spliceosomal tri-snRNP complex assembly
GO:0000353	1.3271485129057625e-16	formation of quadruple SL/U4/U5/U6 snRNP
GO:0050906	2.6633452008176956e-15	detection of stimulus involved in sensory perception
GO:0000387	8.317905276522336e-15	spliceosomal snRNP assembly
GO:0007600	1.0447937623212213e-14	sensory perception
GO:0071826	1.4981921905095118e-13	ribonucleoprotein complex subunit organization
GO:0022618	2.1548719179795043e-13	ribonucleoprotein complex assembly
GO:0051606	3.8886969849455023e-13	detection of stimulus
GO:0050877	1.480747360651102e-06	nervous system process
GO:0006396	8.670182944084818e-06	RNA processing
GO:0003008	0.0015252305664078952	system process
GO:0005688	1.535287155372567e-15	U6 snRNP
GO:0120114	9.219721849366053e-15	Sm-like protein family complex
GO:0030532	2.0052335888249393e-14	small nuclear ribonucleoprotein complex
GO:0097525	2.877521322788324e-14	spliceosomal snRNP complex
GO:0097526	6.864732935057175e-11	spliceosomal tri-snRNP complex
GO:0046540	6.864732935057175e-11	U4/U6 x U5 tri-snRNP complex
GO:1990904	0.0001701361126538065	ribonucleoprotein complex
GO:0004930	4.0686848620995276e-25	G protein-coupled receptor activity
GO:0004984	1.4468539522717003e-23	olfactory receptor activity
GO:0004888	9.337050242124523e-19	transmembrane signaling receptor activity
GO:0030621	1.5134593441598707e-15	U4 snRNA binding
GO:0017069	1.6443714091868418e-13	snRNA binding
GO:0060089	4.091537876994837e-13	molecular transducer activity
GO:0038023	4.091537876994837e-13	signaling receptor activity
GO:0005549	3.306766910435486e-08	odorant binding
