YBR024W	PF02630
YDL238C	PF01979
YMR069W	PF00583
YDL078C	PF00056
YDL078C	PF02866
YGR280C	PF01585
YIL001W	PF00651
YIL001W	PF13637
YDR303C	PF00172
YAL033W	PF01900
YCR028C	PF07690
YKL212W	PF02383
YML105C	PF01922
YDR440W	PF08123
YJL151C	PF01679
YJR047C	PF01287
YML072C	PF00168
YIR028W	PF02133
YJL138C	PF00270
YJL138C	PF00271
YOL040C	PF00203
YOR351C	PF00069
YOR351C	PF00498
YFR051C	PF01217
YHR038W	PF01765
YPR054W	PF00069
YDR314C	PF10403
YDR314C	PF10405
YLR028C	PF01808
YLR028C	PF02142
YER045C	PF00170
YPR144C	PF03914
YPL249C-A	PF01158
YLR043C	PF00085
YMR125W	PF02854
YMR125W	PF09088
YMR125W	PF09090
YDL134C	PF00149
YGR121C	PF00909
YMR325W	PF00660
YPR128C	PF00153
YDR117C	PF01253
YDR117C	PF02201
YDR117C	PF17832
YGL043W	PF01096
YGL043W	PF07500
YGL043W	PF08711
YOR156C	PF02037
YOR156C	PF02891
YOR156C	PF14324
YDL226C	PF01412
YJL121C	PF00834
YGR061C	PF02769
YGR061C	PF13507
YGR061C	PF18072
YGR061C	PF18076
YHR158C	PF13418
YHR158C	PF13854
YGR213C	PF04479
YML070W	PF02733
YML070W	PF02734
YCL064C	PF00291
YMR015C	PF00067
YML071C	PF04124
YFR028C	PF00782
YFR028C	PF14671
YOR129C	PF07792
YOR129C	PF08616
YIL088C	PF01490
YMR145C	PF07992
YJL222W	PF15901
YJL222W	PF15902
YDR517W	PF04495
YLR178C	PF01161
YNL258C	PF11988
YNL258C	PF11989
YLR441C	PF01015
YGR119C	PF13634
YGR119C	PF13874
YJR013W	PF05007
YIR027C	PF01979
YBR151W	PF06999
YDL167C	PF00641
YBL005W	PF00172
YBL005W	PF04082
YOR377W	PF07247
YDL037C	PF10182
YKL193C	PF00560
YKL193C	PF13516
YKL193C	PF13855
YDR223W	PF10380
YOR103C	PF02109
YGR093W	PF04676
YGR093W	PF04677
YHR137W	PF00155
YGL091C	PF10609
YPL141C	PF00069
YGR258C	PF00752
YGR258C	PF00867
YBR141C	PF11968
YJR091C	PF00076
YJR091C	PF00806
YMR243C	PF01545
YPL235W	PF06068
YPL235W	PF17856
YNL230C	PF06881
YAR073W	PF00478
YAR073W	PF00571
YER095W	PF08423
YER095W	PF14520
YNL231C	PF00650
YNL231C	PF03765
YPL183W-A	PF00444
YDR143C	PF13639
YGR207C	PF01012
YAL027W	PF11561
YHR013C	PF00583
YJL080C	PF00013
YOR269W	PF00400
YIR038C	PF00043
YIR038C	PF02798
YOR344C	PF00010
YML065W	PF00004
YML065W	PF01426
YML065W	PF17872
YFL049W	PF08624
YDR062W	PF00155
YLR237W	PF02133
YMR074C	PF01984
YIL121W	PF07690
YGL048C	PF00004
YGL048C	PF16450
YGL048C	PF17862
YKR010C	PF10407
YGL203C	PF00450
YMR164C	PF08513
YGR113W	PF08653
YPR160W	PF00343
YDR381W	PF00076
YDR140W	PF05175
YGR178C	PF06741
YGR178C	PF14438
YGR144W	PF01946
YIL157C	PF08695
YGL147C	PF00347
YJR041C	PF10441
YKL028W	PF02002
YKL028W	PF08271
YNR053C	PF01926
YNR053C	PF08153
YKR003W	PF01237
YKL146W	PF01490
YLR446W	PF00349
YLR446W	PF03727
YBL030C	PF00153
YER168C	PF01743
YER168C	PF12627
YLR355C	PF01450
YLR355C	PF07991
YIL046W	PF00400
YIL046W	PF12937
YDR479C	PF06398
YNL134C	PF00107
YLR221C	PF14615
YGR220C	PF00297
YDR100W	PF08507
YLR003C	PF14617
YNL010W	PF12710
YJL056C	PF00096
YJL056C	PF13912
YJL056C	PF18217
YDL130W	PF00428
YNL208W	PF05433
YFL060C	PF01174
YGR040W	PF00069
YMR194W	PF01158
YGL029W	PF03879
YBR049C	PF13921
YGL171W	PF00270
YGL171W	PF00271
YLR155C	PF00710
YLR155C	PF17763
YOR276W	PF17052
YML102W	PF00400
YML102W	PF12894
YDL095W	PF02366
YDL095W	PF02815
YDL095W	PF16192
YDR076W	PF08423
YLR287C-A	PF04758
YOR357C	PF00787
YER187W	PF17276
YGR171C	PF09334
YMR209C	PF07942
YMR054W	PF01496
YDR013W	PF05916
YJL101C	PF03074
YHR122W	PF01883
YCR028C-A	PF00436
YDR454C	PF00625
YBR093C	PF00328
YMR005W	PF05236
YDL001W	PF02582
YKL137W	PF08583
YIR011C	PF08559
YNL289W	PF00134
YKL205W	PF08389
YKL205W	PF19282
YGR092W	PF00069
YGR092W	PF00433
YHR134W	PF08325
YPL191C	PF04424
YHR028C	PF00326
YHR028C	PF00930
YCR096C	PF00046
YNL084C	PF12761
YNL084C	PF12763
YGR233C	PF03105
YGR233C	PF12796
YKL059C	PF08783
YMR130W	PF00702
YLL038C	PF01417
YML061C	PF05970
YKR037C	PF08657
YHR197W	PF08167
YIL038C	PF04065
YIL038C	PF04153
YPR176C	PF00432
YLL007C	PF16457
YOR208W	PF00102
YMR238W	PF03663
YHL026C	PF10445
YGR066C	PF09783
YPL094C	PF03839
YNL237W	PF10355
YKL194C	PF00587
YKL194C	PF03129
YLR204W	PF08213
YOR356W	PF05187
YOR356W	PF13450
YER117W	PF00238
YDR519W	PF00254
YDR511W	PF13233
YHR047C	PF01433
YHR047C	PF11838
YHR047C	PF17900
YDR234W	PF00330
YDR234W	PF00694
YGL255W	PF02535
YCR059C	PF01205
YCR059C	PF05773
YNR012W	PF00485
YNR012W	PF14681
YJR159W	PF00107
YJR159W	PF08240
YGL114W	PF03169
YLR350W	PF04061
YMR030W	PF14876
YDL008W	PF12861
YNL101W	PF01490
YGR155W	PF00291
YGR155W	PF00571
YAR031W	PF00674
YAL029C	PF00063
YAL029C	PF00612
YAL029C	PF01843
YIL021W	PF01000
YIL021W	PF01193
YLR063W	PF11312
YML024W	PF00833
YDR041W	PF00338
YJL063C	PF01196
YJL063C	PF18502
YNL138W-A	PF07189
YDR227W	PF16991
YER106W	PF10434
YDR530C	PF09830
YDR530C	PF19327
YDR412W	PF09805
YHR128W	PF14681
YDR301W	PF03178
YKL050C	PF12757
YPR105C	PF08318
YHL024W	PF00076
YCR004C	PF03358
YMR037C	PF00096
YIL007C	PF00595
YIL007C	PF18265
YNR034W-A	PF11503
YBR181C	PF01092
YAL047C	PF12808
YHR057C	PF00160
YLL025W	PF00660
YLL018C	PF00152
YLL018C	PF01336
YNL082W	PF01119
YNL082W	PF08676
YNL082W	PF13589
YOR133W	PF00009
YOR133W	PF00679
YOR133W	PF03144
YOR133W	PF03764
YOR133W	PF14492
YPL269W	PF08580
YLR201C	PF08511
YDR538W	PF02441
YMR264W	PF02845
YMR264W	PF18499
YJR156C	PF09084
YNL073W	PF00152
YNL073W	PF01336
YCL052C	PF08320
YMR225C	PF10780
YBL008W	PF00400
YBL008W	PF07569
YBL008W	PF09453
YOR020C	PF00166
YIR032C	PF04115
YLR206W	PF01417
YKL121W	PF00400
YFR015C	PF05693
YCR034W	PF01151
YDR500C	PF01907
YNL115C	PF00561
YNL115C	PF10329
YBR242W	PF13023
YBR257W	PF01868
YNL270C	PF00324
YHR020W	PF00587
YHR020W	PF03129
YHR020W	PF09180
YBL099W	PF00006
YBL099W	PF00306
YBL099W	PF02874
YBL056W	PF00481
YKL053C-A	PF05254
YMR190C	PF00270
YMR190C	PF00271
YMR190C	PF09382
YMR190C	PF11408
YMR190C	PF16124
YKL052C	PF08655
YOL096C	PF13489
YNL249C	PF00370
YNL249C	PF02782
YDL048C	PF13894
YFL038C	PF00071
YPL086C	PF00583
YPL086C	PF04055
YPL086C	PF16199
YDL218W	PF01284
YNL112W	PF00270
YNL112W	PF00271
YNL241C	PF00479
YNL241C	PF02781
YLR215C	PF07065
YDR174W	PF00505
YIL077C	PF07954
YKR049C	PF07955
YIL104C	PF04925
YML007W	PF00170
YML007W	PF08601
YBR198C	PF00400
YBR198C	PF04494
YBR198C	PF08513
YHR082C	PF00069
YHR153C	PF19225
YDR170C	PF01369
YDR170C	PF09324
YDR170C	PF12783
YDR170C	PF16213
YIL162W	PF00251
YIL162W	PF08244
YDR282C	PF02582
YLR051C	PF08698
YER004W	PF08732
YLR134W	PF00205
YLR134W	PF02775
YLR134W	PF02776
YNR011C	PF00270
YNR011C	PF00271
YNR011C	PF04408
YNR011C	PF07717
YNL207W	PF01163
YNL207W	PF09202
YKL127W	PF00408
YKL127W	PF02878
YKL127W	PF02879
YKL127W	PF02880
YER021W	PF01399
YER021W	PF08375
YBR070C	PF08660
YNL125C	PF07690
YDR292C	PF00448
YDR292C	PF02881
YDR292C	PF09201
YER175C	PF13649
YHR213W	PF00624
YHR213W	PF07691
YDL144C	PF02558
YDL144C	PF08546
YPR117W	PF10293
YPR117W	PF10305
YPR117W	PF10347
YPR117W	PF10351
YPR117W	PF10359
YML110C	PF01209
YNL045W	PF01433
YNL045W	PF09127
YNL045W	PF17900
YOL115W	PF01909
YOL115W	PF03828
YER088C	PF00249
YNL302C	PF01090
YBR201W	PF04511
YLR189C	PF00169
YLR189C	PF00201
YLR189C	PF02893
YLR189C	PF03033
YPR086W	PF00382
YPR086W	PF08271
YCR065W	PF00250
YFR007W	PF07728
YOR348C	PF00324
YKL107W	PF00106
YOR352W	PF17110
YCR024C	PF00152
YCR024C	PF01336
YBR258C	PF05205
YER134C	PF12689
YOR327C	PF00957
YEL037C	PF00240
YEL037C	PF00627
YEL037C	PF09280
YHR103W	PF17076
YHR201C	PF01368
YHR201C	PF02833
YBR094W	PF01975
YBR094W	PF03133
YNR048W	PF03381
YNL138W	PF01213
YNL138W	PF08603
Q0085	PF00119
YNR050C	PF03435
YNR050C	PF16653
YPL242C	PF00307
YPL242C	PF00612
YPL242C	PF00616
YPL242C	PF03836
YMR226C	PF00106
YGR199W	PF02366
YGR199W	PF02815
YGR199W	PF16192
YJL096W	PF00829
YJL026W	PF00268
YHR191C	PF09696
YJR101W	PF02777
YLR168C	PF04707
YPR182W	PF01423
YGR247W	PF07823
YGL262W	PF17276
YKL211C	PF00117
YKL211C	PF00218
YPL209C	PF00069
YOL084W	PF02714
YOL084W	PF12621
YOL084W	PF13967
YOL084W	PF14703
YDR079W	PF09803
YDR345C	PF00083
YGL241W	PF03810
YHR004C	PF03031
YBR283C	PF00344
YBR283C	PF10559
YGR154C	PF13409
YGR154C	PF13410
YOR018W	PF00339
YOR018W	PF02752
YLR002C	PF03914
YLR002C	PF07540
YPL007C	PF12660
YPR187W	PF01192
YHR017W	PF08643
YDL126C	PF00004
YDL126C	PF02359
YDL126C	PF02933
YDL126C	PF09336
YDL126C	PF17862
YMR271C	PF00156
YML117W	PF10378
YML117W	PF10567
YBL009W	PF12330
YNL128W	PF00782
YER049W	PF10637
YER049W	PF13661
YGR212W	PF07247
YCL063W	PF17321
YLR127C	PF00888
YLR127C	PF08672
YDR315C	PF06090
YMR055C	PF00566
YBL052C	PF01853
YBL052C	PF17772
YCR038C	PF00617
YGL201C	PF00493
YGL201C	PF14551
YGL201C	PF17207
YGL201C	PF17855
YGL201C	PF18263
YOR374W	PF00171
YJR058C	PF01217
YOR034C	PF01529
YOR034C	PF12796
YBL085W	PF00018
YBL085W	PF00169
YBL085W	PF07647
YDR126W	PF01529
YIL049W	PF02544
YEL024W	PF00355
YEL024W	PF02921
YDR067C	PF03162
YEL027W	PF00137
YGL116W	PF12894
YMR214W	PF00226
YMR214W	PF00684
YMR214W	PF01556
YGR080W	PF00241
YDL060W	PF04950
YDL060W	PF08142
YKL190W	PF13499
YPL126W	PF00400
YHR192W	PF10058
YDR255C	PF10607
YFR050C	PF00227
YLR248W	PF00069
YDR031W	PF16860
YDR138W	PF11957
YOL054W	PF15227
YPL171C	PF00724
YJR017C	PF00397
YJR017C	PF00639
YPL132W	PF04442
YBR275C	PF12231
YPL143W	PF01247
YDR399W	PF00156
YKL017C	PF13086
YKL017C	PF13087
YKR064W	PF00172
YOR287C	PF06102
YER073W	PF00171
YNL069C	PF00572
YNL111C	PF00173
YBR133C	PF05185
YBR133C	PF17285
YBR133C	PF17286
YPR040W	PF04176
YPL253C	PF16796
YPR021C	PF00153
YPL207W	PF00258
YPL207W	PF04055
YPL207W	PF08608
YJR068W	PF00004
YJR068W	PF08542
YER075C	PF00102
YER075C	PF00581
YNR057C	PF13500
YFR019W	PF00118
YFR019W	PF01363
YFR019W	PF01504
YHR040W	PF04438
YFL042C	PF02893
YFL042C	PF16016
YMR223W	PF00443
YMR223W	PF02148
YEL031W	PF00122
YEL031W	PF00702
YDR368W	PF00248
YLR295C	PF10775
YCR101C	PF15902
YMR256C	PF02238
YKL192C	PF00550
YOL139C	PF01652
YBR173C	PF05348
YNL242W	PF09333
YNL242W	PF13329
YJL140W	PF03874
YBR170C	PF05020
YBR170C	PF05021
YFL005W	PF00071
YNL292W	PF01509
YIR013C	PF00320
YLR284C	PF00378
YIL043C	PF00175
YIL043C	PF00970
YBR249C	PF00793
YMR251W	PF13409
YMR251W	PF13410
YBR265W	PF00106
YGL071W	PF08731
YGL144C	PF05057
YPL188W	PF01513
YPL188W	PF20143
YGL023C	PF01363
YIL130W	PF00172
YIL130W	PF04082
Q0050	PF00078
Q0050	PF01348
YFL017W-A	PF01423
YJR024C	PF00596
YLL019C	PF00069
YLR138W	PF00999
YLR138W	PF08619
YNR066C	PF15902
YHR178W	PF00172
YHR178W	PF04082
YJR151C	PF00660
YGR015C	PF00561
YGR138C	PF07690
YKL162C	PF02636
YBL079W	PF03177
YBL079W	PF08801
YMR042W	PF00319
YDL185W	PF00006
YDL185W	PF02874
YDL185W	PF05203
YDL185W	PF05204
YDL185W	PF16886
YJR032W	PF00160
YJR032W	PF00515
YBR104W	PF00153
YFL031W	PF07716
YHL033C	PF01248
YHR066W	PF04427
YKL156W	PF01667
YHR029C	PF02567
YIL138C	PF12718
YOL055C	PF03070
YOL055C	PF08543
YGL236C	PF01134
YGL236C	PF13932
YAL049C	PF01738
YNR009W	PF08528
YBR048W	PF00366
YBR048W	PF16205
YER102W	PF01201
YJL177W	PF00237
YDR146C	PF00096
YJL131C	PF14877
YKL056C	PF00838
YPL069C	PF00348
YOR180C	PF00378
YMR078C	PF00004
YDL202W	PF00466
YBR273C	PF00789
YER005W	PF01150
YDL192W	PF00025
YLR281C	PF00472
YDR308C	PF11221
YDR484W	PF04129
YLR385C	PF17330
YML120C	PF07992
YDL178W	PF01565
YDL178W	PF02913
YLR136C	PF00642
YKR008W	PF00439
YML118W	PF03372
YDR106W	PF00022
YLR406C	PF01198
YDR330W	PF00789
YDR330W	PF13899
YDR330W	PF14555
YIL125W	PF00676
YIL125W	PF02779
YIL125W	PF16078
YIL125W	PF16870
YML031W	PF09531
YDR179W-A	PF02194
YOL008W	PF03364
YNL326C	PF01529
YDR213W	PF00172
YDR213W	PF11951
YMR087W	PF14519
YOR111W	PF02545
YGL257C	PF11051
YMR220W	PF00288
YMR220W	PF08544
YBR154C	PF01191
YBR154C	PF03871
YIR017C	PF07716
YGR060W	PF04116
YGL206C	PF00637
YGL206C	PF01394
YGL206C	PF09268
YGL206C	PF13838
YOR321W	PF02366
YOR321W	PF02815
YOR321W	PF16192
YHR081W	PF04000
YER083C	PF08690
YPL030W	PF07757
YPR162C	PF14629
YMR138W	PF00025
YNL215W	PF04795
YLR118C	PF02230
YEL030W	PF00012
YFR038W	PF00176
YFR038W	PF00271
YMR041C	PF00248
YER153C	PF05476
YGL195W	PF12074
YNL225C	PF11778
YMR029C	PF08232
YMR092C	PF00400
YER113C	PF02990
YIL052C	PF01199
YGL192W	PF05063
YIL078W	PF00587
YIL078W	PF02824
YIL078W	PF03129
YIL078W	PF07973
YLR036C	PF15701
YOL057W	PF03571
YPL104W	PF00152
YPL104W	PF01336
YLL009C	PF05051
YLL035W	PF16575
YOL157C	PF00128
YBL045C	PF00675
YBL045C	PF05193
YKL101W	PF00069
YMR291W	PF00069
YLR426W	PF00106
YOR347C	PF00224
YOR347C	PF02887
YOR143C	PF04263
YOR143C	PF04265
YMR023C	PF01926
YMR023C	PF10396
YMR023C	PF12631
YNR059W	PF11051
YGR071C	PF02892
YOL058W	PF00764
YEL015W	PF03853
YEL015W	PF09532
YDR279W	PF09468
YDR279W	PF17745
YKR081C	PF04427
YBR221C	PF02779
YBR221C	PF02780
YJR143C	PF02366
YJR143C	PF02815
YJR143C	PF16192
YDL173W	PF12223
YBR123C	PF09734
YBR123C	PF17682
YJR073C	PF04191
YOR362C	PF00227
YOR362C	PF10584
YOR249C	PF12862
YKL185W	PF00320
YIL091C	PF06862
YFL040W	PF00083
YKL080W	PF03223
YIL073C	PF08631
YIL034C	PF01115
YKL093W	PF17058
YDR400W	PF01156
YAR008W	PF01974
YJL225C	PF00271
YJL225C	PF11603
YFR010W	PF00443
YCR045C	PF00082
YDL141W	PF02237
YDL141W	PF03099
YDL141W	PF09825
YIR041W	PF00660
YHR008C	PF00081
YHR008C	PF02777
YJL122W	PF09135
YKL152C	PF00300
YOR123C	PF04004
YHR032W	PF01554
YDL105W	PF08743
YDL105W	PF15412
YPL096W	PF03835
YDR318W	PF09496
YDR481C	PF00245
YIL142W	PF00118
YJL198W	PF03105
YJL198W	PF03600
YER130C	PF00096
YNL222W	PF04722
YNL260C	PF09811
YNL156C	PF07281
YKL197C	PF00004
YKL197C	PF09262
YKL197C	PF17862
YOR390W	PF02537
Q0120	PF00033
Q0120	PF00961
YFL034C-A	PF01776
YFR012W	PF06687
YGL083W	PF00069
YOL077C	PF04427
YOR291W	PF00122
YOR291W	PF00702
YOR291W	PF12409
YOR291W	PF13246
YNL281W	PF09229
YCR061W	PF10348
YCR061W	PF10355
YMR185W	PF10304
YMR185W	PF10363
YMR278W	PF00408
YMR278W	PF02878
YMR278W	PF02879
YMR278W	PF02880
YML111W	PF04425
YML111W	PF04426
YCR040W	PF04769
YJL125C	PF08704
YPR052C	PF00505
YDR390C	PF00899
YDR390C	PF10585
YML002W	PF02204
YLR268W	PF00957
YLR268W	PF13774
YFL017C	PF00583
YGR143W	PF03935
YHL022C	PF04406
YDL122W	PF00443
YCR106W	PF00172
YBR020W	PF00288
YBR020W	PF08544
YBR020W	PF10509
YMR108W	PF00205
YMR108W	PF02775
YMR108W	PF02776
YNL053W	PF00782
YKR106W	PF07690
YDR486C	PF03357
YBR262C	PF17050
YER068W	PF14570
YOR030W	PF08733
YBR233W	PF00013
YBR195C	PF00400
YBR195C	PF08662
YBR195C	PF12265
YLL012W	PF04083
YGL130W	PF01331
YGL130W	PF03919
YDR323C	PF01363
YDR323C	PF11464
YOR319W	PF00076
YNL236W	PF11635
YPL265W	PF00324
YCL047C	PF01467
YLR022C	PF01172
YLR022C	PF09377
YMR035W	PF10502
YHR083W	PF10806
YGR090W	PF03813
YGR090W	PF17403
YGR090W	PF17404
YGR090W	PF17405
YGR090W	PF17406
YGR090W	PF17407
YLR382C	PF00133
YLR382C	PF09334
YLR382C	PF13603
YLR273C	PF03370
YLR172C	PF00590
YER119C	PF01490
YOL077W-A	PF11022
YKR076W	PF13409
YKR076W	PF13410
YDR242W	PF01425
YOL021C	PF00773
YOL021C	PF13638
YOL021C	PF17215
YOL021C	PF17216
YOL021C	PF17849
YNR018W	PF04588
YPL148C	PF01648
YIL023C	PF02535
YDR072C	PF01569
YDR072C	PF14378
YER064C	PF04001
YLR315W	PF09447
YOL130W	PF01544
YGR206W	PF09452
YFL061W	PF01966
YER147C	PF10345
YKR028W	PF04499
YNL271C	PF02181
YNL271C	PF06367
YNL271C	PF06371
YDR346C	PF08622
YDR346C	PF17187
YMR270C	PF10680
YOL136C	PF01591
YIL020C	PF00977
YOL083W	PF12744
YCR075W-A	PF11503
YNL070W	PF08038
Q0110	PF00033
Q0110	PF03161
YFL037W	PF00091
YFL037W	PF03953
YJR078W	PF01231
YPL005W	PF13812
YJL059W	PF02487
YDL091C	PF00789
YGL119W	PF03109
YOR040W	PF00753
YOR040W	PF16123
YHR104W	PF00248
YJL143W	PF02466
YAL004W	PF10712
YDL074C	PF08647
YDL074C	PF13920
YJR124C	PF07690
YMR043W	PF00319
YLR174W	PF00180
YER065C	PF00463
YEL029C	PF08543
YCR102C	PF00107
YKR009C	PF00106
YKR009C	PF01575
YJR059W	PF00069
YOR110W	PF00300
YOR110W	PF10419
YER151C	PF00443
YIL093C	PF13741
YGL054C	PF03311
YPL128C	PF00249
YPL128C	PF08558
YER136W	PF00996
YDR261C	PF00150
YJL217W	PF07081
YNL255C	PF00098
YJR076C	PF00735
YGL044C	PF00076
YGL044C	PF14304
YNL051W	PF10392
YNL148C	PF01302
YNL148C	PF14560
YMR107W	PF17325
YDL147W	PF01399
YDL147W	PF18098
YDL081C	PF00428
YOR294W	PF04939
YLR258W	PF05693
YOR288C	PF00085
YDR283C	PF00069
YDR283C	PF05773
YDR283C	PF12745
YDR283C	PF13393
YIL099W	PF00723
YBL104C	PF17034
YLR330W	PF00533
YLR330W	PF16892
YLR330W	PF16893
YLR244C	PF00557
YLR244C	PF15801
YGL229C	PF04499
YGR055W	PF13520
YDL108W	PF00069
YGR072W	PF03467
YKL068W	PF04096
YKL068W	PF13634
YDR313C	PF01363
YDR313C	PF13639
YPL271W	PF04627
YCR019W	PF00294
YBL017C	PF15901
YBL017C	PF15902
YDR496C	PF08144
YMR279C	PF07690
YHR019C	PF00152
YHR019C	PF01336
YLL041C	PF13085
YLL041C	PF13534
YCR033W	PF00249
YAR002C-A	PF01105
YNL085W	PF00752
YNL085W	PF12246
YNL085W	PF12247
YBR289W	PF04855
YPL076W	PF06432
YBR035C	PF01243
YBR035C	PF10590
YMR244W	PF03856
YCL005W-A	PF05493
YDL205C	PF01379
YDL205C	PF03900
YML126C	PF01154
YML126C	PF08540
YDL054C	PF07690
YLR086W	PF02463
YLR086W	PF06470
YNL037C	PF00180
YHR202W	PF00149
YGL067W	PF00293
YGL067W	PF09297
YLR298C	PF06220
YHL016C	PF00474
YDR531W	PF03630
YER023W	PF03807
YER023W	PF14748
YDR226W	PF00406
YDR226W	PF05191
YPR011C	PF00153
YLR283W	PF07798
YDL133C-A	PF05162
YOR182C	PF04758
YIL083C	PF04127
YHR044C	PF13419
YDR188W	PF00118
YOR219C	PF00326
YOR219C	PF00930
YGR292W	PF00128
YHR140W	PF04750
YHR072W-A	PF04135
YDR524C	PF01412
YLR238W	PF00498
YGR184C	PF02207
YGR184C	PF18995
YMR010W	PF04193
YCR048W	PF03062
YGR024C	PF04446
YGR024C	PF14413
YGL237C	PF02045
YPR045C	PF03399
YPL033C	PF00106
YER024W	PF00755
YHR210C	PF01263
YKL092C	PF00168
YKL092C	PF00616
YDR189W	PF00995
YMR165C	PF04571
YMR165C	PF08235
YGL161C	PF04893
YMR206W	PF15700
YMR019W	PF00172
YMR019W	PF04082
YCR073C	PF00069
YBR127C	PF00006
YBR127C	PF02874
YGR076C	PF18126
YOR232W	PF01025
YNL068C	PF00250
YNL068C	PF00498
YMR123W	PF08636
YJL100W	PF00454
YOL061W	PF13793
YOL061W	PF14572
YJL206C	PF00172
YJL206C	PF04082
YKL222C	PF00172
YKL222C	PF04082
YJL005W	PF00211
YJL005W	PF00481
YJL005W	PF08509
YJL005W	PF13855
YPL239W	PF12796
YMR170C	PF00171
YDR090C	PF04193
YOL092W	PF04193
YCL018W	PF00180
YBL023C	PF00493
YBL023C	PF12619
YBL023C	PF14551
YBL023C	PF17207
YBL023C	PF17855
YLR048W	PF00318
YMR280C	PF00172
YMR280C	PF04082
YPL118W	PF11709
YNR077C	PF04318
YBR017C	PF02985
YBR017C	PF13513
YJR126C	PF04253
YJR126C	PF04389
YDR376W	PF13450
YKL120W	PF00153
YDR450W	PF00416
YDR402C	PF00067
YHR155W	PF00169
YHR155W	PF16016
YHR211W	PF00624
YHR211W	PF07691
YHR211W	PF13928
YBR137W	PF03928
YPR075C	PF09463
YNL259C	PF00403
YOR162C	PF00172
YHL012W	PF01704
YDR257C	PF00856
YGL062W	PF00289
YGL062W	PF00364
YGL062W	PF00682
YGL062W	PF02436
YGL062W	PF02785
YGL062W	PF02786
YIR030C	PF01177
YGL103W	PF00828
YGR124W	PF00733
YGR124W	PF13537
YGR294W	PF00660
YBR291C	PF00153
YOL032W	PF05603
YPL222W	PF02696
YPL153C	PF00069
YPL153C	PF00498
YKL175W	PF02535
YOR313C	PF17316
YDR074W	PF00982
YDR074W	PF02358
YGL259W	PF00026
YPL134C	PF00153
YDL035C	PF11710
YDL035C	PF11970
YBR036C	PF16965
YER016W	PF03271
YLR229C	PF00071
YGR027C	PF03297
YPL093W	PF06858
YPL093W	PF08155
YPL093W	PF17835
YHL018W	PF01329
YMR116C	PF00400
YDR449C	PF08640
YML093W	PF04615
YIL151C	PF13638
YGR120C	PF06148
YPR023C	PF05712
YPR023C	PF11717
YLR277C	PF00753
YLR277C	PF07521
YLR277C	PF10996
YLR277C	PF11718
YJR075W	PF04488
YGL093W	PF08317
YGL093W	PF18210
YAL034C	PF04433
YOR090C	PF00481
YBR276C	PF00782
YJR154W	PF05721
YLR316C	PF00383
YGL001C	PF01073
YLR459W	PF06728
YKR098C	PF00443
YIL062C	PF04699
YNL168C	PF01557
YDL064W	PF00179
YOL129W	PF05255
YOR037W	PF00970
YOR280C	PF03959
YBR236C	PF03291
YAR023C	PF00674
YDR190C	PF06068
YDR190C	PF17856
YGL112C	PF02969
YGL112C	PF07571
YMR006C	PF01735
YML094W	PF02996
YKR051W	PF03619
YGR033C	PF08294
YGL190C	PF00400
YHR009C	PF01266
YDL231C	PF10334
YDL231C	PF13515
YHR123W	PF01066
YDR124W	PF11001
YGL246C	PF08652
YMR198W	PF16796
YML108W	PF08987
YIL160C	PF00108
YIL160C	PF02803
YDR145W	PF03847
YDL061C	PF00253
YML019W	PF04756
YKL032C	PF00505
YLR263W	PF07964
YPL256C	PF00134
YMR176W	PF00628
YMR176W	PF01388
YDL040C	PF12569
YHR052W	PF00687
YGR128C	PF10395
YDR312W	PF04427
YLR102C	PF12856
YKL010C	PF00632
YNL158W	PF10333
YDR162C	PF00018
YDL101C	PF00069
YDL101C	PF00498
YML081C-A	PF04911
YAL061W	PF00107
YAL061W	PF08240
YHR091C	PF00750
YHR091C	PF03485
YHR091C	PF05746
YCL010C	PF07039
YLR275W	PF01423
YDR336W	PF01926
YIL096C	PF10354
YER062C	PF13419
YKL090W	PF02845
YGR059W	PF00735
YNL322C	PF17056
YJR149W	PF03060
YOR063W	PF00297
YLR091W	PF17053
YEL050C	PF00181
YEL050C	PF03947
YPL064C	PF00160
YPL101W	PF05625
YPL247C	PF00400
YNL337W	PF04318
YMR276W	PF00240
YMR301C	PF00005
YMR301C	PF00664
YDR103W	PF11610
YDR103W	PF12194
YGL208W	PF04739
YGL208W	PF16561
YPR066W	PF00899
YNL286W	PF00076
YFL048C	PF03388
YFR053C	PF00349
YFR053C	PF03727
YGR132C	PF01145
YPR093C	PF13639
YGL092W	PF04096
YGL092W	PF12110
YGL092W	PF13634
YPL037C	PF01849
YOR310C	PF01798
YOR310C	PF08156
YBL031W	PF17077
YMR063W	PF06687
YGL178W	PF00806
YKL033W-A	PF13419
YLR084C	PF12768
YHR036W	PF10104
YKL176C	PF18639
YMR229C	PF00575
YOR367W	PF00307
YOR297C	PF05328
YJL014W	PF00118
YPR165W	PF00071
YDR009W	PF00288
YDR009W	PF08544
YDR009W	PF10509
YIL164C	PF00795
YLR435W	PF10273
YNL147W	PF01423
YOR176W	PF00762
YPL177C	PF05920
YJL203W	PF01805
YDR034C	PF00172
YDR034C	PF11951
YFL036W	PF00940
YFL036W	PF14700
YJL174W	PF05390
YJL174W	PF10342
YDR329C	PF04882
YDL229W	PF00012
YKR029C	PF00628
YKR029C	PF00856
YAL021C	PF03372
YAL021C	PF13855
YPL157W	PF09445
YGL163C	PF00176
